MACRO;UF;REGIAO_TURISTICA;MUNICIPIO;COD_IBGE;QUANTIDADE_EMPREGOS;QUANTIDADE_ESTABELECIMENTOS;QUANTIDADE_VISITAS_ESTIMADAS_INTERNACIONAL;QUANTIDADE_VISITAS_ESTIMADAS_NACIONAL;ARRECADACAO;CLUSTER
Nordeste;AL;Agreste;Campo Alegre;2701407;0;0;0;1.005; R$ -   ;D
Nordeste;AL;Quilombos;Ibateguara;2703007;0;0;0;6.160; R$ -   ;D
Nordeste;AL;Lagoas e Mares do Sul;Jequiá da Praia;2703759;0;0;0;6.553; R$ -   ;D
Nordeste;AL;Agreste;Junqueiro;2704005;8;2;0;15.574; R$ -   ;D
Nordeste;AL;Caminhos do São Francisco;Pão de Açúcar;2706406;1;1;0;794; R$ -   ;D
Nordeste;AL;Caminhos do São Francisco;Piaçabuçu;2706802;1;1;0;37.076; R$ -   ;D
Nordeste;AL;Lagoas e Mares do Sul;Pilar;2706901;0;0;0;0; R$ -   ;D
Nordeste;AL;Caminhos do São Francisco;São Brás;2708204;0;0;0;29.010; R$ -   ;D
Nordeste;AL;Agreste;São Sebastião;2708808;6;2;0;0; R$ -   ;D
Nordeste;BA;Costa do Descobrimento;Belmonte;2903409;19;6;121;2.236; R$ -   ;D
Nordeste;BA;Chapada Diamantina;Bonito;2904050;0;1;140;0; R$ -   ;D
Nordeste;BA;Costa do Dendê;Camamu;2905800;16;2;101;18.514; R$ -   ;D
Norte;AC;Caminhos das Aldeias e da Biodiversidade;Mâncio Lima;1200336;0;0;0;0; R$ -   ;E
Nordeste;CE;Chapada da Ibiapaba;Ibiapina;2305308;2;1;88;26.830; R$ -   ;D
Nordeste;CE;Serras de Aratanha e Baturité;Redenção;2311603;2;1;106;39.078; R$ -   ;D
Nordeste;CE;Vale do Jaguaribe;Solonópole;2313005;1;1;0;0; R$ -   ;D
Nordeste;BA;Chapada Diamantina;Dom Basílio;2910107;1;1;64;0; R$ -   ;D
Nordeste;BA;Chapada Diamantina;Iraquara;2914406;24;3;0;0; R$ -   ;D
Nordeste;BA;Caminhos do Sertão;Irará;2914505;0;0;0;13.521; R$ -   ;D
Nordeste;BA;Costa do Cacau;São José da Vitória;2929354;0;0;0;9.668; R$ -   ;D
Nordeste;BA;Vale do São Francisco;Sento Sé;2930204;0;0;0;0; R$ -   ;D
Nordeste;BA;Vale do São Francisco;Sobradinho;2930774;14;4;0;2.444; R$ -   ;D
Nordeste;BA;Costa do Dendê;Taperoá;2931202;0;0;0;1.031; R$ -   ;D
Sudeste;ES;Imigrantes;João Neiva;3203130;25;5;0;0; R$ -   ;D
Sudeste;ES;Vales e do Café;Muqui;3203809;11;2;143;17.904; R$ -   ;D
Sudeste;ES;Doce Pontões Capixaba;Pancas;3204005;0;0;112;43.840; R$ -   ;D
Sudeste;ES;Imigrantes;Santa Maria de Jetibá;3204559;25;4;121;0; R$ -   ;D
Sul;SC;Caminho dos Canyons;Timbé do Sul;4218103;0;0;0;1.125; R$ -   ;D
Sul;SC;Serra Catarinense;Urupema;4218954;3;2;182;1.125; R$ -   ;D
Sul;RS;Vale do Paranhana;Parobé;4314050;38;2;152;17.011; R$ -   ;D
Nordeste;CE;Sertão Central;Tejuçuoca;2313351;0;0;0;0; R$ -   ;E
Nordeste;SE;Polo Costa dos Coqueirais;Indiaroba;2802809;0;0;0;0; R$ -   ;E
Nordeste;BA;Chapada Diamantina;Gentio do Ouro;2911303;0;0;0;0; R$ -   ;E
Sudeste;MG;Serras e Cachoeiras;Miraí;3142205;4;3;82;9.668; R$ -   ;D
Sudeste;SP;MARAVILHAS  DO RIO GRANDE;Paulo de Faria;3536604;12;1;0;0; R$ -   ;D
Sul;PR;Vales do Iguaçu;Palmas;4117602;11;5;978;27.835; R$ -   ;D
Sul;RS;Uva e Vinho;Flores da Cunha;4308201;34;3;75;17.486; R$ -   ;D
Centro-Oeste;MT;Região Turística Amazônia Mato-Grossense;Nova Monte Verde;5108956;5;2;0;5.555; R$ -   ;D
Centro-Oeste;GO;Região Turística Pegadas no Cerrado;Paraúna;5216403;11;3;241;11.465; R$ -   ;D
Centro-Oeste;GO;Região Turística Pegadas no Cerrado;Serranópolis;5220504;5;2;0;14.856; R$ -   ;D
Sudeste;MG;Serras de Minas;Araponga;3103702;0;0;0;0; R$ -   ;D
Sudeste;MG;Alta Mogiana;Araporã;3103751;0;0;0;0; R$ -   ;D
Sudeste;MG;Trilha dos Inconfidentes;Barroso;3105905;12;2;0;0; R$ -   ;D
Sudeste;MG;Veredas do Paraopeba;Belo Vale;3106408;9;2;0;0; R$ -   ;D
Sudeste;MG;Malhas do Sul de Minas;Borda da Mata;3108305;8;2;0;2.681; R$ -   ;D
Sudeste;MG;Guimarães Rosa;Buritizeiro;3109402;12;3;0;0; R$ -   ;D
Sudeste;MG;Noroeste das Gerais e Alto Paranaíba;Cabeceira Grande;3109451;0;1;0;0; R$ -   ;D
Sudeste;MG;Caminhos Gerais;Cabo Verde;3109501;0;1;66;0; R$ -   ;D
Sudeste;MG;Pico da Bandeira;Caiana;3110103;1;1;0;0; R$ -   ;D
Sudeste;MG;Águas;Cambuquira;3110707;15;3;188;25.071; R$ -   ;D
Sudeste;MG;Serras de Minas;Canaã;3111705;2;1;0;0; R$ -   ;D
Sudeste;MG;Pedras Preciosas;Capelinha;3112307;38;5;0;2.624; R$ -   ;D
Sudeste;MG;Campo das Vertentes;Carmo da Mata;3114006;1;1;0;2.624; R$ -   ;D
Sudeste;SP;Rios do Vale;Caçapava;3508504;30;3;870;14.311; R$ -   ;D
Sudeste;SP;Águas e Flores Paulista;Holambra;3519055;30;4;1.075;31.828; R$ -   ;D
Sudeste;SP;Coração do Tietê;Novo Horizonte;3533502;17;4;0;0; R$ -   ;D
Sudeste;SP;Pólo Turístico Cuesta;Pardinho;3536109;10;1;112;0; R$ -   ;D
Sudeste;SP;Altos de Paranapiacaba;Piedade;3537800;44;4;636;11.328; R$ -   ;D
Sudeste;SP;Angra Doce Paulista;Piraju;3538808;32;5;561;27.596; R$ -   ;D
Sul;SC;Costa Verde & Mar;Camboriú;4203204;31;3;0;0; R$ -   ;D
Sul;RS;Pampa Gaúcho;Aceguá;4300034;3;1;75;0; R$ -   ;D
Sul;RS;Uva e Vinho;Antônio Prado;4300802;14;2;64;3.026; R$ -   ;D
Sul;RS;Rota Missões;Guarani das Missões;4309506;0;0;0;0; R$ -   ;D
Sudeste;MG;Trilha dos Inconfidentes;Ibituruna;3130002;0;0;0;4.556; R$ -   ;D
Sudeste;MG;Vale Verde e Quedas D'Água;Ijaci;3130408;7;2;0;6.316; R$ -   ;D
Sudeste;MG;Pedras Preciosas;Pavão;3148509;0;0;0;2.681; R$ -   ;D
Sudeste;MG;Vale Verde e Quedas D'Água;Perdões;3149903;19;2;0;0; R$ -   ;D
Sudeste;MG;Ouro;Rio Acima;3154804;3;1;0;0; R$ -   ;D
Sudeste;MG;Villas e Fazendas de Minas;Rio Espera;3155207;0;0;0;0; R$ -   ;D
Sudeste;MG;Trilha dos Inconfidentes;Ritápolis;3156106;0;0;0;0; R$ -   ;D
Sudeste;MG;Urucuia Grande Sertão;Urucuia;3170529;2;1;0;4.671; R$ -   ;D
Sudeste;MG;Nascentes das Gerais e Canastra;Vargem Bonita;3170602;6;2;0;0; R$ -   ;D
Sudeste;MG;Noroeste das Gerais e Alto Paranaíba;Vazante;3171006;11;2;182;36.222; R$ -   ;D
Sudeste;RJ;CAMINHOS COLONIAIS;Comendador Levy Gasparian;3300951;0;0;0;2.700; R$ -   ;D
Sudeste;RJ;COSTA DOCE;Cardoso Moreira;3301157;0;0;0;19.975; R$ -   ;D
Sudeste;SP;Pólo Turístico Cuesta;Bofete;3506904;2;1;61;6.316; R$ -   ;D
Sudeste;SP;Alta Mogiana;Brodowski;3507803;1;1;112;0; R$ -   ;D
Sudeste;SP;Pólo Turístico Cuesta;Itatinga;3523503;7;3;0;13.569; R$ -   ;D
Sudeste;SP;Pólo Turístico Cuesta;Paranapanema;3535804;24;4;567;0; R$ -   ;D
Sudeste;SP;Coração Paulista;Pederneiras;3536703;28;6;77;0; R$ -   ;D
Sudeste;SP;Águas e Flores Paulista;Pedreira;3537107;7;2;311;9.459; R$ -   ;D
Sudeste;SP;Nascentes do Tietê;Santa Isabel;3546801;25;5;199;13.569; R$ -   ;D
Sudeste;SP;Altos de Paranapiacaba;São Miguel Arcanjo;3550209;7;2;555;0; R$ -   ;D
Sudeste;SP;Serra do Itaqueri;Torrinha;3554706;50;3;0;0; R$ -   ;D
Sul;PR;Norte Pioneiro;Wenceslau Braz;4128500;11;3;0;27.554; R$ -   ;D
Centro-Oeste;MT;Região Turística Domo de Araguainha;Alto Taquari;5100607;36;5;0;0; R$ -   ;D
Sudeste;MG;Lago de Irapé;Curral de Dentro;3120870;0;0;0;0; R$ -   ;E
Norte;PA;Região Turística do Tocantins;Tailândia;1507953;42;5;247;24.584; R$ -   ;D
Norte;TO;Ilha do Bananal;São Salvador do Tocantins;1720259;0;0;0;6.794; R$ -   ;D
Nordeste;CE;Litoral Extremo Oeste;Chaval;2303907;0;0;64;25.587; R$ -   ;D
Nordeste;CE;Vale do Jaguaribe;Jaguaribara;2306801;0;0;0;14.505; R$ -   ;D
Nordeste;PB;Vale do Paraíba;Mogeiro;2509404;0;0;0;1.659; R$ -   ;D
Nordeste;PB;Brejo;Solânea;2516003;12;3;0;12.426; R$ -   ;D
Nordeste;BA;Caminhos do Jiquiriçá;Itatim;2916856;5;1;502;33.591; R$ -   ;D
Sudeste;MG;Grutas e Mar de Minas;Pains;3146503;5;1;52;0; R$ -   ;D
Sudeste;MG;Caminho Novo;Santos Dumont;3160702;19;4;163;0; R$ -   ;D
Sudeste;MG;Trilhas do Rio Doce;São João Evangelista;3162807;7;2;256;13.276; R$ -   ;D
Sudeste;SP;Alta Mogiana;Ipuã;3521309;0;0;75;0; R$ -   ;D
Sudeste;SP;Região Turística dos Cânions Paulista;Ribeirão Branco;3543006;4;1;0;0; R$ -   ;D
